time,x,y,z,vx,vy,vz
1774469327.2901452,59.186545948065586,-9.852257875922632,70.0,0.2381914311985797,-6.40951182466032,0.0
1774469327.3398395,59.185904138726954,-9.857902921147664,70.0,0.2662886149301532,-6.1872593587984115,0.0
1774469327.3899324,59.18626803772133,-9.86343452522916,70.0,0.25135179865050833,-5.969473356694562,0.0
1774469327.4398394,59.18662983766496,-9.86883408015359,70.0,0.23649851047007814,-5.756946979744133,0.0
1774469327.4900079,59.18685334922424,-9.874165752781254,70.0,0.22755355806598984,-5.546932977334512,0.0
1774469327.5402205,59.187073866774334,-9.879364101979942,70.0,0.21872783196378295,-5.3422294231639205,0.0
1774469327.589792,59.18695129640493,-9.884624705067088,70.0,0.22456995861140985,-5.134468459903367,0.0
1774469327.6398687,59.18682536832747,-9.889751452071815,70.0,0.2305459036413888,-4.932039182404621,0.0
1774469327.6898298,59.18763254715947,-9.89509691075156,70.0,0.1965951834385422,-4.71985806861052,0.0
1774469327.7398365,59.18859298137839,-9.899099539794161,70.0,0.15608082757199337,-4.564727349047613,0.0
1774469327.789962,59.18954981817045,-9.902967478483383,70.0,0.11570952267582615,-4.414961915787149,0.0
1774469327.839797,59.190572503453694,-9.906501871704332,70.0,0.07250640482717141,-4.279074093308066,0.0
1774469327.889821,59.19158896867642,-9.90990527636295,70.0,0.02955081081601263,-4.148404202001708,0.0
1774469327.939821,59.19191218957654,-9.913908364491961,60.0,0.01622962127146058,-3.991701183507205,0.0
1774469327.989948,59.19222658950377,-9.91778528044258,60.0,0.0032597866664293047,-3.8400240582208496,0.0
1774469328.0398319,59.19305631020054,-9.922354031395367,60.0,-0.03178135221095425,-3.6583824087138246,0.0
1774469328.0898154,59.19387726885642,-9.926799324178358,60.0,-0.06647363327239811,-3.4816583492626156,0.0
1774469328.1398225,59.19349872278474,-9.929889119601436,60.0,-0.04987986959178976,-3.362558633595585,0.0
1774469328.1898382,59.19310966570812,-9.93285578513668,60.0,-0.032867211062300214,-3.2483638579935135,0.0
1774469328.2397993,59.193990836974024,-9.935656886181867,60.0,-0.07022168729940055,-3.14089683586954,0.0
1774469328.2900438,59.19486406914669,-9.938339959773598,60.0,-0.10726010959998544,-3.0381315417989776,0.0
1774469328.3397934,59.195652878591964,-9.941377475544563,60.0,-0.14071341385193087,-2.9198637669895686,0.0
1774469328.3898215,59.196431843975034,-9.944302408676835,60.0,-0.1737747393432516,-2.8060807130091105,0.0
1774469328.4398208,59.19706568363239,-9.947114363558796,60.0,-0.20065888964264245,-2.696805072358421,0.0
1774469328.4899712,59.19768827835199,-9.949817701950511,60.0,-0.22709520219630008,-2.591856194453122,0.0
1774469328.53983,59.19830041527641,-9.952347214898284,60.0,-0.2531184852176589,-2.494029814654572,0.0
1774469328.5898235,59.1989005726593,-9.954772293380218,60.0,-0.2786646563975861,-2.4003636554305006,0.0
1774469328.639793,59.198266834601206,-9.470996271616837,60.0,-0.2514613746537424,-1.7552711852655778,0.0
1774469328.6899629,59.19762040850135,-8.986735292826845,60.0,-0.22375238740696757,-1.12949600982342,0.0
1774469328.7399855,59.197376153868376,-8.50146133768765,60.0,-0.21328002884401276,-0.5456361135349306,0.0
1774469328.7898085,59.197122740858994,-8.015709279545515,60.0,-0.20244270907880849,0.019179146510122203,0.0
1774469328.840293,59.196861104696644,-7.529484259427891,60.0,-0.19127768690592764,0.5651544690573156,0.0
1774469328.8900154,59.196585094289894,-7.043195534716748,60.0,-0.179519188367444,1.109781262924398,0.0
1774469328.94006,59.19630261110753,-6.5564454510898225,60.0,-0.16750271987024895,1.636030271361415,0.0
1774469328.9899642,59.195818517141134,-6.0688997735615455,60.0,-0.14687788885923297,2.1295861746268017,0.0
1774469329.0400696,59.19532955136524,-5.580904457277616,60.0,-0.1260588129178869,2.60523089799698,0.0
1774469329.0900264,59.19483444417116,-5.0926010426780355,60.0,-0.10498800709591109,3.068998875251592,0.0
1774469329.1399364,59.19433656818732,-4.603862252318044,60.0,-0.0838067420827837,3.5154237362779632,0.0
1774469329.1898365,59.19328691637684,-4.115358794069521,60.0,-0.039025772402273916,3.973176613973926,0.0
1774469329.239983,59.19223633763588,-3.626434884321605,60.0,0.005792435672878966,4.414180948594227,0.0
1774469329.2899942,59.19220638116777,-3.1365092943768635,60.0,0.006951506702276459,4.8135522051824156,0.0
1774469329.3398001,59.19217906563609,-2.6461768012144624,60.0,0.008005365138856725,5.1967143103002735,0.0
1774469329.3899038,59.191813186678274,-2.64239211143864,60.0,0.02355032852653041,5.044756766779215,0.0
1774469329.4399357,59.19144970030529,-2.6386021391569363,60.0,0.03900007296505398,4.892587713468059,0.0
1774469329.4900236,59.191570595968706,-2.6342157646248614,60.0,0.03373656832893622,4.714901049741728,0.0
